Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).","operating system",neutral,Positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative,Negative
"The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.","video chat",negative,Negative
"The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.",quality,conflict,Negative
"That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.",mouse,positive,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",Fan,positive,Positive
"Fan vents to the side, so no cooling pad needed, great feature!","cooling pad",neutral,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",feature,positive,Positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,positive,Positive
"Wasted me at least 8 hours of installation time.","installation time",negative,Negative
"It has far exceeded my expectations for power, storage, and abilitiy.",power,positive,Positive
"It has far exceeded my expectations for power, storage, and abilitiy.",storage,positive,Positive
"It has far exceeded my expectations for power, storage, and abilitiy.",abilitiy,positive,Positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.","spotlight search",positive,Positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,positive,Positive
